id,name,desc,type,url,wikidata
402,"Lindh, Jonas","Swedish association football player, played for BoIS, born 1982-06-24",Q5,https://boishistoria.se/visa-data/?what=spelare&id=402&link=visa-data,
272,"Lindholm, Göte","Swedish association football player, played for BoIS, born 1927-02-21",Q5,https://boishistoria.se/visa-data/?what=spelare&id=272&link=visa-data,
3675,"Lindman, Emil","Swedish association football player, played for BoIS, born 2003-02-18",Q5,https://boishistoria.se/visa-data/?what=spelare&id=3675&link=visa-data,
509,"Lindqvist, Magnus","Swedish association football player, played for BoIS, born 1969-12-05",Q5,https://boishistoria.se/visa-data/?what=spelare&id=509&link=visa-data,
322,"Lindroth, Håkan","Swedish association football player, played for BoIS, born 1962-09-22",Q5,https://boishistoria.se/visa-data/?what=spelare&id=322&link=visa-data,
194,"Lindskog, Erik ""Lirra""","Swedish association football player, played for BoIS, born 1903-12-06",Q5,https://boishistoria.se/visa-data/?what=spelare&id=194&link=visa-data,
607,"Lindstedt, Olle","Swedish association football player, played for BoIS, born 1915-09-16",Q5,https://boishistoria.se/visa-data/?what=spelare&id=607&link=visa-data,
437,"Lindstrand, Kjell","Swedish association football player, played for BoIS, born 1939-01-01",Q5,https://boishistoria.se/visa-data/?what=spelare&id=437&link=visa-data,
526,"Lindström, Markus","Swedish association football player, played for BoIS, born 1992-03-23",Q5,https://boishistoria.se/visa-data/?what=spelare&id=526&link=visa-data,
795,"Lindström, Torbjörn","Swedish association football player, played for BoIS, born 1947-05-11",Q5,https://boishistoria.se/visa-data/?what=spelare&id=795&link=visa-data,
438,"Lindvall, Kjell","Swedish association football player, played for BoIS, born 1927-09-16",Q5,https://boishistoria.se/visa-data/?what=spelare&id=438&link=visa-data,
712,"Ling, Sigfrid","Swedish association football player, played for BoIS, born 1899-09-29",Q5,https://boishistoria.se/visa-data/?what=spelare&id=712&link=visa-data,
3669,"Linnér, Albin","Swedish association football player, played for BoIS, born 1999-02-14",Q5,https://boishistoria.se/visa-data/?what=spelare&id=3669&link=visa-data,
224,"Liverstam, Fredrik","Swedish association football player, played for BoIS, born 1988-03-04",Q5,https://boishistoria.se/visa-data/?what=spelare&id=224&link=visa-data,
