id,name,desc,type,q
Patrik-Dahbo+(Karlsson)_382,Patrik Dahbo,"mittfältare i IFK Göteborg, sista säsong 1998",Q5,Q129763746
Lennart-Dahlberg_161,Lennart Dahlberg,IFK Göteborg-spelare enligt ifkdb.se,Q5,
Pontus-Dahlberg_865,Pontus Dahlberg,"målvakt i IFK Göteborg, sista säsong 2025",Q5,Q28911572
Erik-Dahlin_769,Erik Dahlin,"målvakt i IFK Göteborg, sista säsong 2019",Q5,Q420126
Edvin-Dahlqvist_892,Edvin Dahlqvist,"försvarare i IFK Göteborg, sista säsong 2019",Q5,Q63801141
Fredrik-Dahlqvist_162,Fredrik Dahlqvist,"försvarare i IFK Göteborg, sista säsong 1996",Q5,
Isak-Dahlqvist_915,Isak Dahlqvist,"IFK Göteborg-spelare, sista säsong 2021",Q5,Q103951530
Erik-Dahlström_163,Erik Dahlström,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q121160728
Lennart-Danielsson_164,Lennart Danielsson,"IFK Göteborg-spelare, sista säsong 1960",Q5,
Sten-Danielsson_166,Sten Danielsson,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q5616888
Sven-Danielsson_167,Sven Danielsson,IFK Göteborg-spelare enligt ifkdb.se,Q5,
Emil-Davidsson_165,Emil Davidsson,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q121160729
Javier-De+Pedro_770,Pedro Javier De,"mittfältare i IFK Göteborg, sista säsong 2005",Q5,Q462237
Marcus-Degerlund_880,Marcus Degerlund,"IFK Göteborg-spelare, sista säsong 2018",Q5,Q29558648
Mamadou-Diallo_168,Mamadou Diallo,"anfallare i IFK Göteborg, sista säsong 2003",Q5,Q2054985
Mix-Diskerud_874,Mix Diskerud,"mittfältare i IFK Göteborg, sista säsong 2018",Q5,Q225583
Rolf-Dönell+(Andersson)_65,Rolf Dönell,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q19758568
Andreas-Drugge_771,Andreas Drugge,"mittfältare i IFK Göteborg, sista säsong 2011",Q5,Q197503
Tord-Dubar_169,Tord Dubar,"anfallare i IFK Göteborg, sista säsong 1960",Q5,
Mikael-Dyrestam_772,Mikael Dyrestam,"mittfältare i IFK Göteborg, sista säsong 2013",Q5,Q3136604
Patrick-Dyrestam_773,Patrick Dyrestam,"IFK Göteborg-spelare, sista säsong 2015",Q5,Q23918684
