id	name	description
2	Markus "Mackan" Karlsson	Vänsterback, aktiv 2005-2007, matcher 49
64	Martin Åslund	Mittfältare, aktiv 1981-2005, matcher 150
636	Martin Hyský	Vänsterback, aktiv 1996-1996, matcher 6
840	Martin Lorentzson	Ytterback, aktiv 2010-2015, matcher 202
587	Mats Olausson	Innerback, aktiv 1985-1989, matcher 100
199	Mats Rohdin	Back, aktiv 1985-1991, matcher 136
22	Mats Rubarth	Vänster mittfältare, aktiv 2001-2008, matcher 218
648	Mattias Asper	Målvakt, aktiv 1998-2000, matcher 94
952	Mattias Gillhart	, aktiv ? - ?, matcher 
617	Mattias "Musse" Johansson	Mittfältare, aktiv 1993-1997, matcher 151
14	Mattias "Moa" Moström	Mittfältare, aktiv 1999-2007, matcher 88
83	Mattias Nylund	Vänsterback, aktiv 2003-2003, matcher 4
656	Mattias "Thylle" Thylander	Högerback, aktiv 2000-2001, matcher 47
627	Matts "Marren" Andersson	Målvakt, aktiv 1993-1997, matcher 7
1309	Maxime Sainte	, aktiv ? - ?, matcher 4
614	Michael "Borken" Borgqvist	Mittfältare, aktiv 1983-1995, matcher 113
637	Michael Brundin	Innerback, aktiv 1996-2000, matcher 178
1383	Mikael Lustig	Back, aktiv 2020-2022, matcher 89
590	Mikael "Sama" Samuelsson	Mittfältare, aktiv 1986-1988, matcher 10
823	Mikael Thorstensson	Forward, aktiv 2009-2009, matcher 23
645	Mike Kjølø	Högerback, aktiv 1998-1999, matcher 76
58	Miran Burgić	Forward, aktiv 2006-2010, matcher 101
1449	Mirza Hasanbegovic	Forward, aktiv ? -2020, matcher 
934	Mohamed Bangura	Forward, aktiv 2010-2016, matcher 104
1071	Mohamed Bangura	, aktiv ? - ?, matcher 
1103	Nabil "Nabbe" Bahoui	Forward, aktiv 2012-2022, matcher 215
1272	Nebiyou Perry	Yttermittfältare, aktiv ? -2018, matcher 2
205	Nebojša "Nesjo, Nebo" Novaković	Forward, aktiv 1998-2017, matcher 172
21	Nicklas Bergh	Målvakt, aktiv 2005-2010, matcher 30
23	Nicklas Carlsson	Mittback, aktiv 2005-2007, matcher 97
897	Nicklas Maripuu	Back, aktiv 1997-2015, matcher 33
1171	Niclas Eliasson	Mittfältare, aktiv 2014-2017, matcher 69
597	Niclas Kindvall	Forward, aktiv 1987-1990, matcher 82
1216	Nicolás Stefanelli	Forward, aktiv 2017-2023, matcher 124
808	Niklas Backman	Mittback, aktiv 2009-2014, matcher 155
3	Niklas "Nirre" Sandberg	Innerback, aktiv 1996-2007, matcher 118
328	Nils "Nicke" Bergström	Högerinner, aktiv 1942-1942, matcher 8
200	Nils-Eric "Nisse" Johansson	Back, aktiv 1997-2018, matcher 450
228	Nils "Gävle" Nilsson	Vänsterhalv, aktiv 1925-1932, matcher 138
1175	Noah Sonko Sundberg	Back, aktiv 2010-2018, matcher 63
193	Ola Andersson	Mittfältare, aktiv 1995-2008, matcher 158
563	Ola Rydstrand	Mittfältare, aktiv 1979-1982, matcher 65
175	Olavus "Olka" Olsson	Innerback, aktiv 1967-1989, matcher 118
366	Olle Nyström	, aktiv 1947-1948, matcher 5
278	Olle "Olle" Zetherlund	Center, aktiv 1933-1939, matcher 63
646	Olof Mellberg	Innerback, aktiv 1998-1998, matcher 20
1457	Omar Faraj	Forward, aktiv 2013-2016, matcher 23
410	Orvar Bergmark	Vänsterback, aktiv 1955-1955, matcher 21
289	Oscar Albrechtsson	Vänsterback, aktiv 1932-1936, matcher 1
1184	Oscar Linnér	Målvakt, aktiv 2016-2020, matcher 122
338	Ove "Järnkaminen" Karlsson	Vänsterback, aktiv 1943-1948, matcher 109
552	Ove "Ryssen, Ruben" Rübsamen	Forward, aktiv 1977-1985, matcher 212
455	Owe "Fiskar-Owe" Ohlsson	Forward, aktiv 1964-1976, matcher 212
62	Pa-Modou Kah	Mittfältare, aktiv 2003-2004, matcher 42
747	Pablo Monsalvo	Mittfältare, aktiv 2007-2008, matcher 8
1173	Panajotis Dimitriadis	Mittfältare, aktiv 2014-2021, matcher 88
495	Paolo Bruschi	Back, aktiv 1969-1971, matcher 49
633	Pär "Mille" Millqvist	Högerback, aktiv 1996-2003, matcher 86
188	Pascal "Pagge" Simpson	Forward, aktiv 1991-1998, matcher 201
660	Patric "Långås" Andersson	Forward, aktiv 2001-2002, matcher 63
629	Patrick Englund	Innerback, aktiv 1995-2004, matcher 93
1182	Patrick Kpozo	Back, aktiv 2015-2017, matcher 30
798	Patrik "Putte" Bojent	Vänsterback, aktiv 2007-2009, matcher 70
1174	Patrik Carlgren	Målvakt, aktiv 2013-2017, matcher 109
635	Patrik "Putte" Fredholm	Forward, aktiv 1983-1998, matcher 61
41	Patrik Grönvall	Back, aktiv 2002-2005, matcher 7
624	Patrik "Larry" Hagman	Yttermittfältare, aktiv 1994-1994, matcher 12
1322	Paulos Abraham	Forward, aktiv 2020-2021, matcher 30
607	Per "Harry" Harrysson	Forward, aktiv 1990-1991, matcher 33
4	Per "Pertan" Karlsson	Back, aktiv 1998-2022, matcher 531
217	Per "Pära, Napoleon" Kaufeldt	Center, aktiv 1918-1955, matcher 203
61	Per "Pelle" Nilsson	Mittback, aktiv 2001-2004, matcher 86
682	Per "Pelle" Nilsson	Forward, aktiv 1981-1984, matcher 26
630	Per "Pelle" Olsson	Forward, aktiv 1995-1995, matcher 3
608	Peter "Peppe" Hallström	Yttermittfältare, aktiv 1984-1992, matcher 42
197	Peter Larsson	Innerback, aktiv 1991-2002, matcher 72
38	Pierre Bengtsson	Mittfältare, aktiv 2004-2009, matcher 92
621	Pierre Gallo	Vänster mittfältare, aktiv 1989-1997, matcher 94
806	Pontus Engblom	Forward, aktiv 2009-2012, matcher 63
654	Pontus Kåmark	Back, aktiv 1999-2000, matcher 24
361	Ragnar "Ragge" Blom	Högerback, aktiv 1946-1947, matcher 3
1213	Rasmus Lindkvist	Back, aktiv 2018-2020, matcher 98
1203	Rickson Mansiamina	Mittfältare, aktiv 2011-2018, matcher 16
18	Robert "RÅP, Robban" Åhman Persson	Mittfältare, aktiv 2003-2013, matcher 138
20	Robert Johansson	Vänsterback, aktiv 2006-2006, matcher 8
1221	Robert Taylor	, aktiv 2017-2018, matcher 10
599	Robert "Verro" Veronese	Höger mittfältare, aktiv 1975-1989, matcher 15
1212	Robin Jansson	Back, aktiv 2018-2019, matcher 35
1000	Robin Quaison	Mittfältare, aktiv 2000-2014, matcher 85
1307	Robin Tihi	Mittfältare, aktiv 2020-2020, matcher 52
589	Roger "Sudden" Sundin	Forward, aktiv 1985-1986, matcher 33
453	Roland Grip	Vänsterytter, aktiv 1964-1970, matcher 144
385	Roland Lönn	Vänsterytter, aktiv 1950-1951, matcher 4
448	Rolf "Linus" Lindgren	Vänsterytter, aktiv 1963-1963, matcher 4
180	Rolf "Roffe Zäta" Zetterlund	Mittfältare, aktiv 1972-1986, matcher 149
