id,name,desc,type,url
1052,Abdi Yusuf,"Swedish association football player, played for AIK, , active ? - ?",Q5,https://www.aikstats.se/player.php?id=1052
1284,Magnus Käck,"Swedish association football player, played for AIK, , active ? - ?",Q5,https://www.aikstats.se/player.php?id=1284
899,"Publiken ""Black Army""","Swedish association football player, played for AIK, Läktaren, active 1891- ?",Q5,https://www.aikstats.se/player.php?id=899
1071,Mohamed Bangura,"Swedish association football player, played for AIK, , active ? - ?",Q5,https://www.aikstats.se/player.php?id=1071
908,Magnus Lind,"Swedish association football player, played for AIK, Läkare, active 2009- ?",Q5,https://www.aikstats.se/player.php?id=908
916,Peter Rosendal,"Swedish association football player, played for AIK, Målvakt, active ? - ?",Q5,https://www.aikstats.se/player.php?id=916
1088,Johan Cederbrant,"Swedish association football player, played for AIK, Marknadschef, active 2005-2012",Q5,https://www.aikstats.se/player.php?id=1088
924,Jerry Bengtson,"Swedish association football player, played for AIK, Forward, active ? - ?",Q5,https://www.aikstats.se/player.php?id=924
1096,Abdou-Fatawou Dodja,"Swedish association football player, played for AIK, Forward, active ? - ?",Q5,https://www.aikstats.se/player.php?id=1096
1105,Anthony Allison,"Swedish association football player, played for AIK, Forward, active ? - ?",Q5,https://www.aikstats.se/player.php?id=1105
943,Nenad Marinković,"Swedish association football player, played for AIK, Mittfältare, active ? - ?",Q5,https://www.aikstats.se/player.php?id=943
1163,Simon Nurme,"Swedish association football player, played for AIK, Målvakt, active ? - ?",Q5,https://www.aikstats.se/player.php?id=1163
952,Mattias Gillhart,"Swedish association football player, played for AIK, , active ? - ?",Q5,https://www.aikstats.se/player.php?id=952
960,Wanderson do Carmo,"Swedish association football player, played for AIK, , active ? - ?",Q5,https://www.aikstats.se/player.php?id=960
969,Erik Sundin,"Swedish association football player, played for AIK, , active 1985-2001",Q5,https://www.aikstats.se/player.php?id=969
1365,Ferdinand Humenberger,"Swedish association football player, played for AIK, Tränare, active 1930-1932",Q5,https://www.aikstats.se/player.php?id=1365
1196,Isidor Behrens,"Swedish association football player, played for AIK, Grundare, active ? - ?",Q5,https://www.aikstats.se/player.php?id=1196
1373,Torsten Lindberg,"Swedish association football player, played for AIK, Tränare, active 1969-1970",Q5,https://www.aikstats.se/player.php?id=1373
985,Filip Tronêt,"Swedish association football player, played for AIK, Forward, active ? - ?",Q5,https://www.aikstats.se/player.php?id=985
994,Mia Pettersson,"Swedish association football player, played for AIK, , active 1997-1999",Q5,https://www.aikstats.se/player.php?id=994
805,Lennart Sjögran,"Swedish association football player, played for AIK, , active ? - ?",Q5,https://www.aikstats.se/player.php?id=805
1389,Tommy Dagostino,"Swedish association football player, played for AIK, Målvakt, active 1999- ?",Q5,https://www.aikstats.se/player.php?id=1389
1003,William Amamoo,"Swedish association football player, played for AIK, , active ? - ?",Q5,https://www.aikstats.se/player.php?id=1003
814,Eddie Gustafsson,"Swedish association football player, played for AIK, Målvakt, active ? - ?",Q5,https://www.aikstats.se/player.php?id=814
1011,"Tommy ""Fröken"" Bäckman","Swedish association football player, played for AIK, , active 1995-1996",Q5,https://www.aikstats.se/player.php?id=1011
822,Dušan Uhrin,"Swedish association football player, played for AIK, Tränare, active 2002-2002",Q5,https://www.aikstats.se/player.php?id=822
830,Peter Wennberg,"Swedish association football player, played for AIK, Tränare, active 2022- ?",Q5,https://www.aikstats.se/player.php?id=830
1492,David Ekholm,"Swedish association football player, played for AIK, , active ? - ?",Q5,https://www.aikstats.se/player.php?id=1492
1032,Oliver Simic,"Swedish association football player, played for AIK, , active ? - ?",Q5,https://www.aikstats.se/player.php?id=1032
1254,Lars Wretman,"Swedish association football player, played for AIK, , active ? - ?",Q5,https://www.aikstats.se/player.php?id=1254
