item,QID,label,ifkdb,svwiki,ifkdb_wikipedia,ifk_title,wd_title,status,match
http://www.wikidata.org/entity/Q4802409,Q4802409,Arvid Fagrell,https://ifkdb.se/spelare/Arvid-Fagrell_203,https://sv.wikipedia.org/wiki/Arvid_Fagrell,https://sv.wikipedia.org/wiki/Arvid_Fagrell,Arvid Fagrell,Arvid Fagrell,match,True
http://www.wikidata.org/entity/Q723475,Q723475,Sven Friberg,https://ifkdb.se/spelare/Sven-Friberg_589,https://sv.wikipedia.org/wiki/Sven_Friberg,https://sv.wikipedia.org/wiki/Sven_Friberg,Sven Friberg,Sven Friberg,match,True
http://www.wikidata.org/entity/Q724838,Q724838,Magnus Kihlberg,https://ifkdb.se/spelare/Magnus-Kihlberg_798,https://sv.wikipedia.org/wiki/Magnus_Kihlberg,https://sv.wikipedia.org/wiki/Magnus_Kihlberg,Magnus Kihlberg,Magnus Kihlberg,match,True
http://www.wikidata.org/entity/Q727097,Q727097,Jonas Wallerstedt,https://ifkdb.se/spelare/Jonas-Wallerstedt_838,https://sv.wikipedia.org/wiki/Jonas_Wallerstedt,https://sv.wikipedia.org/wiki/Jonas_Wallerstedt,Jonas Wallerstedt,Jonas Wallerstedt,match,True
http://www.wikidata.org/entity/Q731176,Q731176,Marino Rahmberg,https://ifkdb.se/spelare/Marino-Rahmberg_597,https://sv.wikipedia.org/wiki/Marino_Rahmberg,https://sv.wikipedia.org/wiki/Marino_Rahmberg,Marino Rahmberg,Marino Rahmberg,match,True
http://www.wikidata.org/entity/Q741285,Q741285,Thomas Olsson,https://ifkdb.se/spelare/Thomas-Olsson_812,https://sv.wikipedia.org/wiki/Thomas_Olsson_(fotbollsspelare),https://sv.wikipedia.org/wiki/Thomas_Olsson_(fotbollsspelare),Thomas Olsson (fotbollsspelare),Thomas Olsson (fotbollsspelare),match,True
http://www.wikidata.org/entity/Q760734,Q760734,Ragnar Sigurðsson,https://ifkdb.se/spelare/Ragnar-Sigurdsson_825,https://sv.wikipedia.org/wiki/Ragnar_Sigur%C3%B0sson,https://sv.wikipedia.org/wiki/Ragnar_Sigurdsson,Ragnar Sigurdsson,Ragnar Sigurðsson,match,False
http://www.wikidata.org/entity/Q764704,Q764704,Stefan Pettersson,https://ifkdb.se/spelare/Stefan-Pettersson_588,https://sv.wikipedia.org/wiki/Stefan_Pettersson_(fotbollsspelare),https://sv.wikipedia.org/wiki/Stefan_Pettersson_(fotbollsspelare),Stefan Pettersson (fotbollsspelare),Stefan Pettersson (fotbollsspelare),match,True
http://www.wikidata.org/entity/Q16146319,Q16146319,Sam Adekugbe,https://ifkdb.se/spelare/Sam-Adekugbe_869,https://sv.wikipedia.org/wiki/Sam_Adekugbe,https://sv.wikipedia.org/wiki/Sam_Adekugbe,Sam Adekugbe,Sam Adekugbe,match,True
http://www.wikidata.org/entity/Q16213248,Q16213248,Henrik Bjørdal,https://ifkdb.se/spelare/Henrik-Bjørdal_872,https://sv.wikipedia.org/wiki/Henrik_Bj%C3%B8rdal,https://sv.wikipedia.org/wiki/Henrik_Bj%C3%B8rdal,Henrik Bjørdal,Henrik Bjørdal,match,True
http://www.wikidata.org/entity/Q16229664,Q16229664,Karl Bohm,https://ifkdb.se/spelare/Karl-Bohm_762,https://sv.wikipedia.org/wiki/Karl_Bohm,https://sv.wikipedia.org/wiki/Karl_Bohm,Karl Bohm,Karl Bohm,match,True
http://www.wikidata.org/entity/Q16233813,Q16233813,Giannis Anestis,https://ifkdb.se/spelare/Giannis-Anestis_899,https://sv.wikipedia.org/wiki/Giannis_Anestis,https://sv.wikipedia.org/wiki/Giannis_Anestis,Giannis Anestis,Giannis Anestis,match,True
http://www.wikidata.org/entity/Q16562723,Q16562723,Hans Palmquist,https://ifkdb.se/spelare/Hans-Palmquist_563,https://sv.wikipedia.org/wiki/Hans_Palmquist,https://en.wikipedia.org/wiki/Hans_Palmquist,Hans Palmquist,Hans Palmquist,match,True
http://www.wikidata.org/entity/Q16632915,Q16632915,Björn Ericsson,https://ifkdb.se/spelare/Björn-Eriksson_187,https://sv.wikipedia.org/wiki/Bj%C3%B6rn_Ericsson,https://sv.wikipedia.org/wiki/Bj%C3%B6rn_Ericsson,Björn Ericsson,Björn Ericsson,match,True
http://www.wikidata.org/entity/Q16633442,Q16633442,Carl Starfelt,https://ifkdb.se/spelare/Carl-Starfelt_875,https://sv.wikipedia.org/wiki/Carl_Starfelt,https://sv.wikipedia.org/wiki/Carl_Starfelt,Carl Starfelt,Carl Starfelt,match,True
http://www.wikidata.org/entity/Q16633526,Q16633526,Robert Vilahamn,https://ifkdb.se/spelare/Robert-Vilahamn+(Karlsson)_384,https://sv.wikipedia.org/wiki/Robert_Vilahamn,https://sv.wikipedia.org/wiki/Robert_Vilahamn,Robert Vilahamn,Robert Vilahamn,match,True
http://www.wikidata.org/entity/Q16633334,Q16633334,Sebastian Ohlsson,https://ifkdb.se/spelare/Sebastian-Ohlsson_893,https://sv.wikipedia.org/wiki/Sebastian_Ohlsson,https://sv.wikipedia.org/wiki/Sebastian_Ohlsson,Sebastian Ohlsson,Sebastian Ohlsson,match,True
