id,name,desc
hakan-dahllof,Håkan Dahllöf,"football forward (born 1953), Djurgårdens IF player 1979–1980"
hakan-dahlstedt,Håkan Dahlstedt,"football player (born 1943), Djurgårdens IF player 1964–1965"
fredrik-dahlstrom,Fredrik Dahlström,"football anfallare (born 1971), Djurgårdens IF player 1998–1999"
jan-ake-danielson,Jan-Åke Danielson,"football back (born 1960), Djurgårdens IF player 1977–1978"
birger-danielsson,Birger Danielsson,"football försvarare (born 1903), Djurgårdens IF player 1935–1936"
marcus-danielson,Marcus Danielson,"football försvarare (born 1989), Djurgårdens IF player 2022–2023"
nicklas-danielsson,Nicklas Danielsson,"football forward (born 1984), Djurgårdens IF player 2009–2022"
ake-danielsson,Åke Danielsson,"football back (born 1950), Djurgårdens IF player 1950–1972"
lance-davids,Lance Davids,"football mittfältare (born 1985), Djurgårdens IF player 2007–2008"
tommy-davidsson,Tommy Davidsson,"football försvarare (born 1952), Djurgårdens IF player 1979–1980"
geert-den-ouden,Geert den Ouden,"football anfallare (born 1976), Djurgårdens IF player 2003–2004"
anna-dettner,Anna Dettner,football player (born 1908)
suzanne-dettner,Suzanne Dettner,"football player (born 1936), Djurgårdens IF player 1976–1981"
anthony-dinning,Anthony Dinning,"football mittfältare (born 1975), Djurgårdens IF player 1975–1993"
ruben-dohlwitz,Ruben Dohlwitz,"football forward (born 1902), Djurgårdens IF player 1902–1926"
godsway-donyoh,Godsway Donyoh,"football anfallare (born 1994), Djurgårdens IF player 1994–2013"
mikael-dorsin,Mikael Dorsin,"football försvarare (born 1981), Djurgårdens IF player 2002–2003"
amadou-doumbouya,Amadou Doumbouya,"football mittfältare (born 2002), Djurgårdens IF player 2002–2022"
juraj-dovicovic,Juraj Dovicovic,"football mittfältare (born 1980), Djurgårdens IF player 1980–2004"
christian-due-boje,Christian Due-Boje,"football back (born 1966), Djurgårdens IF player 1995–1996"
sigvard-edberg,Sigvard Edberg,football player (born 1916)
omar-eddahri,Omar Eddahri,"football mittfältare (born 1990), Djurgårdens IF player 1990–2018"
mats-edholm,Mats Edholm,"football back (born 1965), Djurgårdens IF player 1965–1983"
ola-edlund,Ola Edlund,"football anfallare (born 1929), Djurgårdens IF player 1955–1956"
victor-edvardsen,Victor Edvardsen,"football anfallare (born 1996), Djurgårdens IF player 2022–2023"
lena-edvinsson,Lena Edvidsson,"football forward (born ), Djurgårdens IF player 1970–1993"
bernt-edvinger-fd-johansson,Bernt Edvinger,"football försvarare (born 1923), Djurgårdens IF player 1952–1943"
curtis-edwards,Curtis Edwards,"football mittfältare (born 1994), Djurgårdens IF player 1994–2019"
georg-ehmke,Georg Ehmke,"football vänsterytter (born 1904), Djurgårdens IF player 1928–1929"
soren-egerblom,Sören Egerblom,"football halvback (born 1911), Djurgårdens IF player 1911–1937"
torsten-ehn,Torsten Ehn,"football forward (born 1904), Djurgårdens IF player 1904–1925"
roland-einarsson,Roland Einarsson,"football målvakt (born 1948), Djurgårdens IF player 1973–1974"
ernst-ekberg,Ernst Ekberg,"football player (born 1880), Djurgårdens IF player 1902–1904"
hjalmar-ekdal,Hjalmar Ekdal,"football mittback (born 1998), Djurgårdens IF player 2021–2022"
bertil-ekeblad,Bertil Ekeblad,"football center (born 1913), Djurgårdens IF player 1943–1944"
birger-eklund,Birger Eklund,"football anfallare (born 1929), Djurgårdens IF player 1959–1960"
per-eklund,Per Eklund,"football forward (born 1970), Djurgårdens IF player 1998–1999"
