id,name,desc
225596412,Anna Bagge,Anna Karin Bagge Född: 30 januari 1973 Fotbollsspelare Position: back Nummer: Moderklubb: BP 1991 1992 1993 1994 1995 1996
225596413,Carlos Banda,Carlos Antonio Banda Campos Född: 23 augusti 1977 Fotbollsspelare Position: försvarare Moderklubb: IFK Österåker 3 säsonger. 22 matcher. 0 mål. 1996 3 0 1997 6 0 1998 13 0
225596414,Emmanuel Banda,Emmanuel Banda Född: 29 september 1997 Fotbollsspelare Position: mittfältare Nummer: 12 Moderklubb: Nchanga Rangers FC (Zambia) 2020 2021 22 4 2022
225596415,Yannick Ngabu Bapupa,Yannick Ngabu Bapupa Född: 21 januari 1982 Fotbollsspelare Position: mittfältare Moderklubb: Kongo Kinshasa Star (Kongo) 3 säsonger. 42 matcher. 3 mål. 2002 10 1 SM-guld. Cupguld. 2003 12 1 SM-guld. 2004 20 1 Cupguld.
225596416,Niklas Barklund,Per Niklas Barklund Född: 10 juni 1973 Ishockeyspelare Position: forward Moderklubb: Regina Pats (Canada) Säsonger Matcher Mål Assist Poäng 1998/99 34 0 0 0
225596417,Abgar Barsom,Abgar Aram Diego Barsom Född: 4 september 1977 Fotbollsspelare Position: mittfältare Moderklubb: BK Forward 6 säsonger. 106 matcher. 10 mål. 2000 29 2 2001 24 2 2002 6 2 SM-guld. Cupguld. 2004 15 1 Cupguld. 2005 21 2 SM-guld. Cupguld. 2006 11 1
225596418,Stefan Batan,Stefan Batan Född: 20 mars 1985 Fotbollsspelare Position: mittfältare Moderklubb: Assyriska Föreningen 3 säsonger. 41 matcher. 2 mål. 2006 19 2 2007 13 0 2008 9 0
225596419,Felix Bejmo,Felix Allan Olof Nelson Beijmo Född: 31 januari 1998 Fotbollsspelare Position: försvarare Moderklubb: IF Brommapojkarna 2 säsonger. 37 matcher. 3 mål. 2017 26 2 2018 11 1
225596420,Anders Bengtsson,Anders Bengtsson Född: 3 oktober 1969 Fotbollsspelare Position: mittfältare Moderklubb: Nacka FF 1 säsong. 1 match. 0 mål. 1996 1 0
225596421,Folke Bengtsson,Leif Georg Folke Bengtsson Född: 24 april 1944 Ishockeyspelare Position: forward Moderklubb: Leksands IF Säsonger Matcher Mål Assist Poäng 1969/70 20 7 5 12 1970/71 20 6 3 9 1971/72 23 9 4 13 1972/73 16 4 1 5 1973/74 28 12 8 20 1974/75 30 13 7 20 197
