#entry_id	catalog	external_id	external_url	name	description	entry_type	mnm_user_id	q	matched_on	matched_by_username	auxiliary_data	born	died	dates_in_wikidata	lat	lon	multi_match_candidates
281288053	7738	442	https://www.aikstats.se/player.php?id=442	Bengt Westerberg	Swedish association football player, played for AIK, Högerytter, active 1961-1966	Q5											
281288054	7738	390	https://www.aikstats.se/player.php?id=390	Kurt "Kurre" Liander	Swedish association football player, played for AIK, Vänsterytter, active 1949-1990	Q5	4	Q591568	20260327210214	Auxiliary data matcher							
281288055	7738	58	https://www.aikstats.se/player.php?id=58	Miran Burgić	Swedish association football player, played for AIK, Forward, active 2006-2010	Q5	4	Q1361315	20260327210214	Auxiliary data matcher							
281288056	7738	587	https://www.aikstats.se/player.php?id=587	Mats Olausson	Swedish association football player, played for AIK, Innerback, active 1985-1989	Q5	4	Q1416669	20260327210214	Auxiliary data matcher							
281288057	7738	534	https://www.aikstats.se/player.php?id=534	Jan-Olof Wallgren	Swedish association football player, played for AIK, Innerback, active 1974-1977	Q5	4	Q1681544	20260327210214	Auxiliary data matcher							
281288058	7738	379	https://www.aikstats.se/player.php?id=379	Bengt "Spjället" Kjell	Swedish association football player, played for AIK, Målvakt, active 1950-1956	Q5	4	Q5911841	20260327210214	Auxiliary data matcher							
281288059	7738	1213	https://www.aikstats.se/player.php?id=1213	Rasmus Lindkvist	Swedish association football player, played for AIK, Back, active 2018-2020	Q5	4	Q16633217	20260327210214	Auxiliary data matcher							
281288060	7738	23	https://www.aikstats.se/player.php?id=23	Nicklas Carlsson	Swedish association football player, played for AIK, Mittback, active 2005-2007	Q5	4	Q473045	20260327210214	Auxiliary data matcher							
281288061	7738	403	https://www.aikstats.se/player.php?id=403	Per-Ove "Peo" Enström	Swedish association football player, played for AIK, Högerback, active 1953-1960	Q5											
281288062	7738	974	https://www.aikstats.se/player.php?id=974	Theodor "Todde" Malm	Swedish association football player, played for AIK, Back, active 1904-1921	Q5	4	Q2417983	20260327210214	Auxiliary data matcher							
281288063	7738	210	https://www.aikstats.se/player.php?id=210	John "Broarn" Persson	Swedish association football player, played for AIK, Centerhalv, active ? - ?	Q5	4	Q19976919	20260327210214	Auxiliary data matcher							
281288064	7738	363	https://www.aikstats.se/player.php?id=363	Lennart "Pluntan" Askinger	Swedish association football player, played for AIK, Vänsterback, active 1946-1955	Q5	4	Q6522719	20260327210214	Auxiliary data matcher							
281288065	7738	621	https://www.aikstats.se/player.php?id=621	Pierre Gallo	Swedish association football player, played for AIK, Vänster mittfältare, active 1989-1997	Q5	4	Q3903445	20260327210214	Auxiliary data matcher							
